id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
1,Chapter 1 .,"(c / chapter
  :mod 1)",﻿﻿I,(x1 / I),فصل یک,(x / فصل :mod 1)
2,"Once when I was six years old I saw a magnificent picture in a book , called True Stories from Nature , about the primeval forest .","(s / see-01
      :ARG0 (i / i)
      :ARG1 (p / picture
            :mod (m / magnificent)
            :location (b2 / book :wiki -
                  :name (n / name :op1 ""True"" :op2 ""Stories"" :op3 ""from"" :op4 ""Nature"")
                  :topic (f / forest
                        :mod (p2 / primeval))))
      :mod (o / once)
      :time (a / age-01
            :ARG1 i
            :ARG2 (t / temporal-quantity :quant 6
                  :unit (y / year))))",当 我 还 只 有 六 岁 的 时候 ， 在 一 本 描写 原始 森林 的 名 叫 《 真实 的 故事 》 的 书 中 ， 看到 了 一 副 精彩 的 插画 ，,"(x29 / 看到-01
      :arg0()  (x2 / 我)
      :aspect()  (x30 / 了)
      :arg1()  (x35 / 插画
            :quant()  (x31 / 1)
            :cunit()  (x32 / 幅)
            :mod(x34)  (x33 / 精彩))
      :location(x11_x27)  (x26 / 书
            :name(x11_x27)  (x23 / 故事
                  :mod(x22)  (x21 / 真实))
            :topic(x17)  (x14 / 描写-01
                  :arg1()  (x16 / 森林
                        :mod()  (x15 / 原始)))
            :quant()  (x12 / 1)
            :cunit()  (x13 / 本))
      :time(x1_x8_x9)  (x80 / age
            :arg1()  (x2 / 我)
            :arg2()  (x81 / temporal-quantity
                  :quant()  (x6 / 6)
                  :unit()  (x7 / 岁))
            :mod()  (x4_x5 / 只有)
            :mod()  (x3 / 还)))","وقتی شش ساله بودم روزی در کتابی راجع به جنگل طبیعی که ""سرگذشتهای واقعی"" نام داشت تصویر زیبایی دیدم .","(x / دیدن
      :ARG0 (x2 / من)
      :ARG1 (x3 / تصویر
            :mod (x4 / زیبا)
            :location (x5 / کتاب :wiki - :name (n / name :op1 ""سرگذشت‌های"" :op2 ""واقعی"")
                  :topic (x6 / جنگل
                        :mod (x7 / طبیعی))))
      :time (a / age-01
            :ARG1 x2
            :ARG2 (t / temporal-quantity :quant 6
                  :unit (x8 / سال))))"
3,It was a picture of a boa constrictor in the act of swallowing an animal .,"(p / picture
  :domain (i / it)
  :topic (b2 / boa
           :mod (c2 / constrictor)
           :ARG0-of (s / swallow-01
                      :ARG1 (a / animal))))",画 的 是 一 条 蟒蛇 正在 吞食 一 只 大 野兽 。,"(x8 / 吞食-01
      :arg0()  (x6 / 蟒蛇
            :quant()  (x4 / 1)
            :cunit()  (x5 / 条))
      :arg1()  (x12 / 野兽
            :mod()  (x11 / 大
                  :unit()  (x10 / 只))
            :quant()  (x9 / 1))
      :time()  (x7 / 正在)
      :domain(x3)  (x24 / thing
            :arg1-of(x2)  (x1 / 画-01)))",تصویر مار بوآ را نشان می‌داد که حیوان درنده‌ای را می‌بلعید .,"(x / نشان‌دادن
      :ARG1 (x3 / مار
            :mod (x4 / بوا)
            :ARG0-of (x5 / بلعیدن
                  :ARG1 (x6 / حیوان
                        :mod (x7 / درنده))))
      :ARG0 (x2 / تصویر))"
4,Here is a copy of the drawing .,"(b / be-located-at-91
      :ARG1 (t2 / thing
            :ARG2-of (c / copy-01
                  :ARG1 (p / picture
                        :ARG1-of (d / draw-01))))
      :ARG2 (h / here))",页头 上 就 是 那 副 画 的 摹本 。,"(x9 / 摹本
      :mod(x8)  (x7 / 画
            :mod()  (x5 / 那)
            :cunit()  (x6 / 副))
      :domain(x4)  (x16 / thing
            :location(x2)  (x1 / 页头))
      :mod()  (x3 / 就))",اینک نسخه‌ای از آن تصویر را در بالا می‌بینید .,"(x / دیدن
      :ARG0 (x2 / شما)
      :ARG1 (x3 / نسخه
            :domain (x4 / تصویر
                  :mod (x5 / آن)))
      :time (x6 / اینک)
      :location (x7 / بالا))"
5,"In the book it said : "" Boa constrictors swallow their prey whole , without chewing it .","(s2 / say-01
      :ARG0 (b2 / book)
      :ARG1 (s / swallow-01
            :ARG0 (b / boa
                  :mod (c / constrictor))
            :ARG1 (p / prey
                  :mod (w / whole)
                  :poss b)
            :manner (c2 / chew-01 :polarity -
                  :ARG0 b
                  :ARG1 p)))",这 本 书 中 写道 ： “ 这些 蟒蛇 把 它们 的 猎获物 不加 咀嚼 地 囫囵 吞下,"(x5 / 写道-01
      :arg2(x4)  (x3 / 书
            :mod()  (x1 / 这)
            :cunit()  (x2 / 本))
      :arg1()  (x20_x21 / 吞下-01
            :arg0()  (x9 / 蟒蛇
                  :mod()  (x8 / 这些))
            :arg1(x10)  (x14 / 物
                  :arg1-of()  (x13 / 猎获)
                  :poss(x12)  (x11 / x9))
            :manner(x18)  (x17 / 咀嚼-01
                  :polarity()  (x15_x16 / -)
                  :arg0()  (x9 / 蟒蛇))
            :manner()  (x19 / 囫囵)))",در آن کتاب گفته بودند که مارهای بوآ شکار خود را بی آنکه بجوند درسته می‌بلعند .,"(x / گفتن
      :ARG0 (x2 / آنها)
      :ARG1 (x3 / بلعیدن
            :ARG0 (x6 / مار)
            :ARG1 (x7 / شکار
                  :poss x6)
            :manner (x8 / جویدن :polarity -
                  :ARG0 x6
                  :ARG1 x7))
      :location (x4 / کتاب
            :mod (x5 / آن)))"
6,"After that they are not able to move , and they sleep through the six months that they need for digestion . ""","(a / and
      :op1 (p / possible-01 :polarity -
            :ARG1 (m / move-01
                  :ARG0 (t / they)
                  :time (a2 / after
                        :op1 (t3 / that))))
      :op2 (s / sleep-01
            :ARG0 t
            :duration (t2 / temporal-quantity :quant 6
                  :unit (m2 / month)
                  :ARG1-of (n / need-01
                        :ARG0 t
                        :purpose (d / digest-01
                              :ARG0 t)))))",尔后 就 不 能 再 动弹 了 ； 它们 就 在 长长 的 六 个 月 的 睡眠 中 消化 这些 食物 。 ”,"(x23 / say
      :arg1()  (x25 / and
            :op1()  (x26 / temporal
                  :arg2(x1)  (x4 / 能-01
                        :polarity()  (x3 / -)
                        :arg0()  (x6 / 动弹-01
                              :arg0()  (x9 / 它们)
                              :aspect()  (x7 / 了))
                        :mod()  (x5 / 再-01)
                        :mod()  (x2 / 就)))
            :op2()  (x20 / 消化-01
                  :arg0()  (x9 / 它们)
                  :arg1()  (x22 / 食物
                        :mod()  (x21 / 这些))
                  :duration(x11_x19)  (x18 / 睡眠
                        :arg1()  (x20 / 消化-01
                              :arg0()  (x9 / 它们))
                        :duration(x17)  (x59 / temporal-quantity
                              :quant()  (x14 / 6)
                              :unit()  (x16 / 月)
                              :mod(x13)  (x12 / 长-02))))))",بعد دیگر نمی‌توانند تکان بخورند و در شش ماهی که به هضم آن مشغولند می‌خوابند .,"(x / و
      :op1 (x2 / توانستن :polarity -
            :ARG1 (x3 / تکان‌خوردن
                  :ARG0 x4)
            :time (x5 / بعد))
      :op2 (x6 / خوابیدن
            :ARG0 (x4 / آنها
                  :ARG0-of (x7 / هضم‌کردن
                        :ARG0 x4
                        :ARG1 (x8 / آن)
                        :duration (t / temporal-quantity :quant 6
                              :unit (x9 / ماه))))))"
7,"I pondered deeply , then , over the adventures of the jungle .","(p / ponder-01
      :ARG0 (i / i)
      :ARG1 (a / adventure
            :location (j / jungle))
      :ARG1-of (d / deep-02)
      :time (t / then))",当时 ， 我 对 丛林 中 的 奇遇 想 得 很 多 ，,"(x9 / 想-01
      :arg0()  (x3 / 我)
      :arg1(x4)  (x8 / 奇遇
            :location(x6_x7)  (x5 / 丛林))
      :degree(x10)  (x12 / 多
            :degree()  (x11 / 很))
      :time()  (x1 / 当时))",من آن وقت درباره ماجراهای جنگل بسیار فکر کردم .,"(x / فکرکردن
      :ARG0 (x2 / من)
      :ARG1 (x3 / ماجرا
            :location (x6 / جنگل))
      :degree (x4 / بسیار)
      :time (x5 / وقت
            :mod (x7 / آن)))"
8,And after some work with a colored pencil I succeeded in making my first drawing .,"(a2 / and
      :op2 (s / succeed-01
            :ARG0 (i / i)
            :ARG1 (m / make-01
                  :ARG0 i
                  :ARG1 (p2 / picture
                        :ARG1-of (d / draw-01
                              :ARG0 i
                              :ord (o / ordinal-entity :value 1))))
            :time (a / after
                  :op1 (w / work-01
                        :ARG0 i
                        :instrument (p / pencil
                              :mod (c / color))
                        :mod (s2 / some)))))",于是 ， 我 也 用 彩色 铅笔 画 出 了 我 的 第一 副 图画 。,"(x16 / causation
      :arg2(x1)  (x8_x9 / 画出-01
            :arg0()  (x3 / 我)
            :arg1()  (x15 / 图画
                  :poss(x12)  (x11 / x3)
                  :ord()  (x35 / ordinal-entity
                        :value()  (x13 / 1))
                  :cunit()  (x14 / 幅))
            :aspect()  (x10 / 了)
            :instrument(x5)  (x7 / 铅笔
                  :mod()  (x6 / 彩色))
            :mod()  (x4 / 也)))",و توانستم با مداد رنگی تصویر شماره ۱ را که نخستین کار نقاشی من بود بکشم .,"(x / و
      :op2 (x2 / توانستن
            :ARG1 (x4 / نقاشی‌کردن
                  :ARG0 (x3 / من)
                  :ARG1 (x5 / چیز :wiki - :name (n / name :op1 ""تصویر"" :op2 ""شماره"" :op3 ""1""))
                  :instrument (x6 / مداد
                        :mod (x7 / رنگی))
                  :ord (o / ordinal-entity :value 1))))"
9,My Drawing Number One .,"(p / picture :wiki -
      :name (n2 / name :op1 ""Drawing"" :op2 ""Number"" :op3 ""One"")
      :poss (i / i))",我 的 第一 号 作品 。,"(x5 / 作品
      :poss(x2)  (x1 / 我)
      :ord()  (x10 / ordinal-entity
            :value()  (x3 / 1)
            :cunit()  (x4 / 号)))",تصویر شماره ۱,"(x / چیز :wiki - :name (n / name :op1 ""تصویر"" :op2 ""شماره"" :op3 ""1""))"
10,"It looked like this : I showed my masterpiece to the grown - ups , and asked them whether the drawing frightened them .","(a / and
      :op1 (l / look-02
            :ARG0 (i / it)
            :ARG1 (t / this))
      :op2 (s / show-01
            :ARG0 (i2 / i)
            :ARG1 (m / masterpiece
                  :poss i2)
            :ARG2 (g / grown-up))
      :op3 (a2 / ask-01
            :ARG0 i2
            :ARG1 (f / frighten-01 :mode interrogative
                  :ARG0 (p / picture
                        :ARG1-of (d / draw-01))
                  :ARG1 g)
            :ARG2 g))",它 是 这样 的 ： 我 把 我 的 这 副 杰作 拿 给 大人 看 ， 我 问 他们 我 的 画 是 不 是 叫 他们 害怕 。,"(x3 / 这样-01
      :arg0()  (x1 / 它)
      :mode()  (x2_x4 / judgement)
      :arg0-of()  (x36 / and
            :op1()  (x13_x14 / 拿给-01
                  :arg0()  (x6 / 我)
                  :arg1(x7)  (x12 / 杰作
                        :poss(x9)  (x8 / 我)
                        :mod()  (x10 / 这)
                        :cunit()  (x11 / 幅))
                  :arg2()  (x15 / 大人)
                  :purpose()  (x16 / 看-02
                        :arg0()  (x15 / 大人)
                        :arg1()  (x12 / 杰作)))
            :op2()  (x19 / 问-01
                  :arg0()  (x18 / x6)
                  :arg2()  (x20 / x15)
                  :arg1()  (x29 / 害怕-01
                        :arg0()  (x23 / 画
                              :poss(x22)  (x21 / 我))
                        :arg1(x27)  (x28 / x15)
                        :mode()  (x24_x25_x26 / interrogative)))))",شاهکار خود را به آدم بزرگ‌ها نشان دادم و از ایشان پرسیدم که آیا از نقاشی من می‌ترسند ؟,"(x / و
      :op1 (x2 / نشان‌دادن
            :ARG0 (x4 / من)
            :ARG1 (x5 / شاهکار
                  :ARG2 (x6 / آدم
                        :mod (x7 / بزرگ))
                  :poss x4))
      :op2 (x3 / پرسیدن
            :ARG0 x4
            :ARG1 (x8 / ترسیدن
                  :ARG0 x6
                  :ARG1 (x9 / چیز
                        :poss x4
                        :ARG1-of (x10 / نقاشی‌کردن))
                  :polarity (a / amr-unknown))
            :ARG2 x6))"
